============================================================
bootstrap: 過去データ一括取得
対象 dataspec: RACE, DIFN, HOSE, BLOD, SLOP, WOOD, HOYU, YSCH, TOKU, COMM, MING
option = 4 (ダイアログなしセットアップ)
fromtime = 20210101000000
============================================================

[01:18:45] read: {'dataspec': 'RACE', 'files_done': 546, 'records': 500082, 'file': 'SEVM2023129920231229143454.jvd'}
[01:18:50] read: {'dataspec': 'RACE', 'files_done': 553, 'records': 503701, 'file': 'JGVM2024019920240202135931.jvd'}
[01:18:55] read: {'dataspec': 'RACE', 'files_done': 554, 'records': 507589, 'file': 'O1VM2024019920240202135932.jvd'}
[01:19:00] read: {'dataspec': 'RACE', 'files_done': 562, 'records': 511252, 'file': 'SEVM2024019920240202135942.jvd'}
[01:19:05] read: {'dataspec': 'RACE', 'files_done': 562, 'records': 515121, 'file': 'SEVM2024019920240202135942.jvd'}
[01:19:10] read: {'dataspec': 'RACE', 'files_done': 569, 'records': 518779, 'file': 'JGVM2024029920240301134341.jvd'}
[01:19:15] read: {'dataspec': 'RACE', 'files_done': 572, 'records': 522596, 'file': 'O3VM2024029920240301134342.jvd'}
[01:19:20] read: {'dataspec': 'RACE', 'files_done': 578, 'records': 525995, 'file': 'SEVM2024029920240301134351.jvd'}
[01:19:25] read: {'dataspec': 'RACE', 'files_done': 578, 'records': 529817, 'file': 'SEVM2024029920240301134351.jvd'}
[01:19:30] read: {'dataspec': 'RACE', 'files_done': 585, 'records': 533442, 'file': 'JGVM2024039920240401144911.jvd'}
[01:19:35] read: {'dataspec': 'RACE', 'files_done': 588, 'records': 537290, 'file': 'O3VM2024039920240401144912.jvd'}
[01:19:40] read: {'dataspec': 'RACE', 'files_done': 594, 'records': 540934, 'file': 'SEVM2024039920240401144922.jvd'}
[01:19:45] read: {'dataspec': 'RACE', 'files_done': 594, 'records': 544806, 'file': 'SEVM2024039920240401144922.jvd'}
[01:19:50] read: {'dataspec': 'RACE', 'files_done': 601, 'records': 548401, 'file': 'JGVM2024049920240503140106.jvd'}
[01:19:55] read: {'dataspec': 'RACE', 'files_done': 604, 'records': 552062, 'file': 'O3VM2024049920240503140107.jvd'}
[01:20:00] read: {'dataspec': 'RACE', 'files_done': 610, 'records': 555504, 'file': 'SEVM2024049920240503140117.jvd'}
[01:20:05] read: {'dataspec': 'RACE', 'files_done': 610, 'records': 559154, 'file': 'SEVM2024049920240503140117.jvd'}
