date,track_code,race_num,grade_code,top_horse_num,top_rank,top_mark,p_win,p_raw_blended,ev,kelly,confidence,odds,popularity,tm_score,tm_rank,dm_rank,tan_payout,fuku_payout,y_win
20250126,06,02,,12,1,◎,0.059600,0.153454,3.603000,0.043700,混戦,60.50,5,5320,7,10,0,0,0
20250126,06,03,,13,1,◎,0.189800,0.475155,5.751000,0.162100,標準,30.30,2,8390,1,2,0,0,0
20250126,06,04,,10,1,◎,0.200300,0.143325,2.223000,0.121100,混戦,11.10,10,6870,1,8,0,0,0
20250126,06,05,,03,1,◎,0.050600,0.169573,9.202000,0.045400,混戦,181.80,17,3750,13,8,0,0,0
20250126,06,06,,09,1,◎,0.045400,0.383423,27.507000,0.043800,混戦,606.00,60,6540,1,2,0,0,0
20250126,06,07,,02,1,◎,0.085400,0.528316,4.323000,0.067000,接戦,50.60,8,4040,9,5,0,0,0
20250126,06,08,,14,1,◎,0.135000,0.396583,0.000000,0.000000,接戦,0.00,6,6040,4,3,0,0,0
20250126,06,09,0,07,1,◎,0.264500,0.381425,0.794000,0.000000,接戦,3.00,30,4380,7,7,0,0,0
20250126,06,10,E,09,1,◎,0.191200,0.327885,19.311000,0.183100,標準,101.00,12,4020,12,12,0,0,0
20250126,06,11,0,05,1,◎,0.113100,0.236846,16.008000,0.106800,接戦,141.50,17,4710,11,15,0,0,0
20250126,06,12,,05,1,◎,0.302800,0.353087,0.363000,0.000000,接戦,1.20,8,3310,12,11,0,0,0
20250126,07,01,,09,1,◎,0.128000,0.325135,39.178000,0.125200,接戦,306.00,0,2950,9,9,0,0,0
20250126,07,02,,09,1,◎,0.311200,0.465285,0.000000,0.000000,標準,0.90,8,5060,9,10,0,0,0
20250126,07,03,,06,1,◎,0.223100,0.329230,0.000000,0.000000,接戦,1.00,10,3070,10,11,0,510,0
20250126,07,04,,03,1,◎,0.168700,1.000000,6.814000,0.147600,標準,40.40,4,6450,2,2,0,120,0
20250126,07,05,,04,1,◎,0.272100,0.165431,0.381000,0.000000,接戦,1.40,14,4680,9,16,0,0,0
20250126,07,06,,05,1,◎,0.084900,0.233437,8.576000,0.075800,接戦,101.00,10,5680,7,5,0,0,0
20250126,07,07,,12,1,◎,0.097200,0.543628,0.000000,0.000000,接戦,0.00,0,5620,6,4,0,0,0
20250126,07,08,,08,1,◎,0.345000,0.151013,0.690000,0.000000,混戦,2.00,20,6790,1,1,150,110,1
20250126,07,09,g,04,1,◎,0.230300,1.000000,1.151000,0.037800,標準,5.00,50,7200,2,2,250,110,1
20250126,07,10,0,05,1,◎,0.342700,0.342870,0.000000,0.000000,標準,0.00,2,5140,6,6,1240,310,1
20250126,07,11,0,12,1,◎,0.128600,0.414318,0.643000,0.000000,接戦,5.00,50,3940,13,13,0,0,0
20250126,07,12,,11,1,◎,0.204600,0.369700,26.641000,0.198500,標準,130.20,19,4810,9,8,0,0,0
20250126,10,01,,03,1,◎,0.000000,0.000000,0.000000,0.000000,接戦,202.00,20,5140,6,5,0,0,0
20250126,10,02,,02,1,◎,0.163800,0.349767,1.654000,0.071900,接戦,10.10,1,4680,11,11,0,0,0
