date,track_code,race_num,grade_code,tentative,top_horse_num,top_rank,top_has_mark,p_win,p_raw_blended,ev,odds,y_top_is_winner,tan_payout_if_bet
20250201,10,06,,0,14,1,1,0.359000,0.302317,0.503000,1.40,0,0
20250201,10,07,,0,08,1,1,0.125600,0.392543,0.628000,5.00,0,0
20250201,10,08,,0,04,1,1,0.062900,0.399188,6.985000,111.10,0,0
20250201,10,09,?,0,09,1,1,0.061400,0.252670,9.301000,151.60,0,0
20250201,10,10,c,0,05,1,1,0.206300,0.583535,0.000000,0.00,0,0
20250201,10,11,?,0,17,1,1,0.110200,0.263701,0.000000,0.00,0,0
20250201,10,12,,0,13,1,1,0.182000,0.598156,5.461000,30.00,0,0
20250202,05,01,,0,12,1,1,0.279700,0.385140,0.000000,0.00,0,0
20250202,05,02,,0,11,1,1,0.198800,0.346666,139.589000,702.00,0,0
20250202,05,03,,0,01,1,1,0.375800,0.394847,0.000000,0.00,0,0
20250202,05,04,,0,11,1,1,0.113700,0.237004,0.000000,0.00,0,0
20250202,05,05,,0,03,1,1,0.086200,0.205741,6.995000,81.10,0,0
20250202,05,06,,0,07,1,1,0.113600,0.160438,0.000000,0.00,0,0
20250202,05,07,,0,07,1,1,0.180900,0.295806,0.000000,0.00,0,0
20250202,05,08,,0,07,1,1,0.104100,0.310262,63.914000,614.10,0,0
20250202,05,09,0,0,04,1,1,0.324200,0.503566,0.000000,0.40,0,0
20250202,05,10,E,0,03,1,1,0.389000,0.326466,3.929000,10.10,0,0
20250202,05,11,C,0,16,1,1,0.404200,0.350369,0.000000,0.00,0,0
20250202,05,12,,0,08,1,1,0.175000,0.434195,0.000000,0.60,0,0
20250202,08,01,,0,02,1,1,0.100200,0.403979,6.075000,60.60,0,0
20250202,08,02,,0,06,1,1,0.381700,0.215810,3.855000,10.10,0,0
20250202,08,03,,0,06,1,1,0.078900,0.208045,4.781000,60.60,0,0
20250202,08,04,,0,04,1,1,0.131400,1.000000,0.000000,0.00,1,160
20250202,08,05,,0,02,1,1,0.165500,0.157635,0.000000,0.00,0,0
20250202,08,06,,0,06,1,1,0.126600,0.246095,0.000000,0.00,0,0
20250202,08,07,,0,03,1,1,0.000000,0.000000,0.000000,101.00,0,0
20250202,08,08,,0,05,1,1,0.129400,0.274995,0.000000,0.00,0,0
20250202,08,09,g,0,04,1,1,0.079200,0.231818,3.215000,40.60,0,0
20250202,08,10,0,0,05,1,1,0.279900,1.000000,1.959000,7.00,0,0
20250202,08,11,C,0,12,1,1,0.370500,0.128099,5.595000,15.10,0,0
20250202,08,12,,0,08,1,1,0.089300,0.216158,0.000000,0.00,0,0
20250202,10,01,,0,04,1,1,0.066600,0.415986,5.366000,80.60,0,0
20250202,10,02,,0,06,1,1,0.203800,0.336556,0.000000,0.00,0,0
20250202,10,03,,0,06,1,1,0.137900,0.689738,0.000000,0.00,0,0
20250202,10,04,,0,02,1,1,0.101700,0.514978,0.915000,9.00,0,0
20250202,10,05,,0,03,1,1,0.257600,0.327838,0.000000,0.00,0,0
20250202,10,06,,0,03,1,1,0.041900,1.000000,12.696000,303.00,1,570
20250202,10,07,,0,17,1,1,0.051800,0.190079,5.761000,111.20,0,0
20250202,10,08,,0,06,1,1,0.091600,0.299238,46.159000,504.00,0,0
20250202,10,09,?,0,04,1,1,0.091100,0.344056,55.320000,607.00,0,0
20250202,10,10,�,0,12,1,1,0.395700,0.293902,5.184000,13.10,0,0
20250202,10,11,E,0,09,1,1,0.135600,0.353423,0.271000,2.00,0,0
